station,total_docks,lon,lat,nearest_junior_high_distance,nearest_university_distance,nearest_mrt_distance,nearest_bus_distance,district
?寮公園,12,121.41264,25.00694,202.84,2739.24,1594.59,24.0,樹林區
三井Outlet,63,121.36629,25.07158,719.52,3419.78,7146.13,142.16,林口區
三俊街65巷口,15,121.41359,25.01585,928.99,1826.7,657.26,36.12,樹林區
三信集英路口,13,121.48748,25.08563,516.76,8219.2,910.77,103.05,三重區
三光國小(金滿意),45,121.49687,25.05596,109.54,6401.16,688.45,266.38,三重區
三和國中(自強路三段110巷),22,121.48694,25.0748,436.18,7487.52,205.96,27.73,三重區
三和慈愛街口,11,121.48417,25.07814,610.26,7455.65,266.15,34.31,三重區
三和路四段73號旁,15,121.48977,25.07513,341.02,7751.2,376.23,127.11,三重區
三和龍門路口,18,121.4949,25.0718,470.79,7793.33,222.29,61.04,三重區
三多國小,26,121.40701,25.01638,1166.99,2231.74,654.53,214.54,樹林區
三多第1市民活動中心,27,121.40426,25.01637,1325.89,2450.29,846.37,142.11,樹林區
三峽中山公園,15,121.36584,24.93561,339.84,1247.03,5896.53,89.35,三峽區
三峽區公所(三峽老街),33,121.36929,24.9339,62.34,1086.77,5677.14,81.55,三峽區
三峽區礁溪行政中心,20,121.37592,24.92843,441.86,1402.01,5460.95,73.28,三峽區
三峽原住民族生活文化園區,31,121.36672,24.94565,412.62,1127.92,5411.79,352.1,三峽區
三峽國中,33,121.369,24.9389,477.44,808.83,5452.64,30.04,三峽區
三峽國光青年社會住宅,30,121.37686,24.93743,343.86,399.63,4819.58,47.45,三峽區
三峽國小(中山路),21,121.36779,24.93474,120.96,1135.77,5765.19,102.41,三峽區
三張公園,45,121.49094,25.07051,195.46,7487.06,580.55,80.33,三重區
三張地下停車場,22,121.48981,25.07054,172.32,7442.03,694.26,139.16,三重區
三德公園,36,121.50076924045402,25.075005324200696,646.17,8390.59,634.65,48.94,三重區
三抱竹,34,121.44139,24.99864,719.44,1193.55,1109.2,17.96,板橋區
三樹大學路口,24,121.37816,24.93951,225.05,225.05,4592.96,11.39,三峽區
三樹大德路口,15,121.37871,24.94163,216.21,216.21,4436.8,54.7,三峽區
三民中山一路口,29,121.476,25.08223,378.58,7089.23,445.65,59.15,蘆洲區
三民地下停車場,24,121.53718,24.97097,517.76,517.76,562.37,3.75,新店區
